timestamp,city,pm25,temperature,pressure,wind_speed,wind_direction,dewpoint,snow_hours,rain_hours
2010-01-01 00:00:00,北京,110.3,3.7,1023.9,4.04,NE,-11.9,0,0
2010-01-01 01:00:00,北京,94.9,-1.1,1014.4,5.57,cv,-16.6,0,0
2010-01-01 02:00:00,北京,89.7,-1.0,1029.1,8.53,SE,-15.3,0,0
2010-01-01 03:00:00,北京,96.0,-5.7,1011.0,4.04,NW,-17.0,0,0
2010-01-01 04:00:00,北京,102.8,-5.4,1019.6,4.29,NW,-16.9,0,0
2010-01-01 05:00:00,北京,140.9,-7.8,1013.9,4.87,SE,-27.2,0,0
2010-01-01 06:00:00,北京,109.1,-4.0,1024.4,3.24,NE,-17.9,0,0
2010-01-01 07:00:00,北京,132.1,-10.2,1017.6,3.4,cv,-28.7,0,0
2010-01-01 08:00:00,北京,113.6,-6.6,1011.8,4.89,NW,-20.9,0,0
2010-01-01 09:00:00,北京,137.1,-6.5,1023.1,3.62,cv,-23.2,0,0
2010-01-01 10:00:00,北京,131.1,-6.1,1014.6,3.82,NW,-20.7,0,0
2010-01-01 11:00:00,北京,124.1,-10.5,1011.7,6.07,SE,-24.4,0,0
2010-01-01 12:00:00,北京,124.0,-8.9,1016.0,3.36,SE,-23.8,0,0
2010-01-01 13:00:00,北京,114.2,-3.4,1021.1,3.98,NW,-16.5,0,0
2010-01-01 14:00:00,北京,124.3,-4.2,1015.5,3.02,NE,-18.9,0,0
2010-01-01 15:00:00,北京,109.9,-2.3,1013.7,4.08,NE,-19.9,0,0
2010-01-01 16:00:00,北京,96.8,-0.7,1015.2,3.76,cv,-15.3,0,0
2010-01-01 17:00:00,北京,92.2,-0.9,1003.2,3.68,cv,-15.5,0,0
2010-01-01 18:00:00,北京,106.0,-0.4,1029.4,4.83,NW,-15.4,0,0
2010-01-01 19:00:00,北京,119.8,2.5,1014.0,3.5,cv,-8.9,0,0
2010-01-01 20:00:00,北京,100.4,-1.1,1020.2,5.42,NW,-15.0,0,0
2010-01-01 21:00:00,北京,95.5,1.5,1022.0,4.09,NW,-13.0,0,0
2010-01-01 22:00:00,北京,99.9,0.7,1009.4,3.43,NE,-14.0,0,0
2010-01-01 23:00:00,北京,112.6,1.2,1008.2,6.95,NE,-11.8,0,0
2010-01-02 00:00:00,北京,90.6,4.9,1021.5,4.06,SE,-5.3,0,0
2010-01-02 01:00:00,北京,85.4,-3.1,1011.8,4.85,SE,-16.8,0,0
2010-01-02 02:00:00,北京,106.7,-1.6,1013.5,2.99,NE,-15.0,0,0
2010-01-02 03:00:00,北京,102.2,-3.2,1012.1,4.91,NE,-17.7,6,0
2010-01-02 04:00:00,北京,119.4,-3.8,1001.1,4.5,cv,-20.1,0,0
2010-01-02 05:00:00,北京,107.0,-6.3,1015.7,4.41,NE,-24.5,0,0
2010-01-02 06:00:00,北京,93.7,-3.8,1015.7,7.7,NW,-18.3,0,0
2010-01-02 07:00:00,北京,95.1,-5.8,1022.1,3.1,NW,-20.4,0,0
2010-01-02 08:00:00,北京,133.7,-6.0,1014.5,4.29,NW,-18.1,0,0
2010-01-02 09:00:00,北京,136.1,-10.0,1014.9,4.19,SE,-23.1,0,0
2010-01-02 10:00:00,北京,113.8,-6.5,1019.6,7.63,NW,-20.8,0,0
2010-01-02 11:00:00,北京,110.8,-6.9,1021.5,4.03,SE,-19.5,0,0
2010-01-02 12:00:00,北京,131.5,-6.6,1011.1,3.88,NW,-20.9,0,0
2010-01-02 13:00:00,北京,98.3,-4.9,1006.5,5.16,cv,-20.3,0,0
2010-01-02 14:00:00,北京,97.7,-2.5,1026.9,4.05,NE,-18.2,0,0
2010-01-02 15:00:00,北京,112.5,-0.2,1022.8,4.22,cv,-9.5,0,0
2010-01-02 16:00:00,北京,96.2,2.1,1011.0,3.71,SE,-9.8,6,0
2010-01-02 17:00:00,北京,97.0,3.0,1012.4,3.39,SE,-7.5,0,0
2010-01-02 18:00:00,北京,91.5,2.5,1014.0,3.77,cv,-8.1,0,0
2010-01-02 19:00:00,北京,94.4,2.6,1009.8,4.68,cv,-7.2,0,0
2010-01-02 20:00:00,北京,104.8,2.0,1011.4,4.35,NW,-10.9,0,0
2010-01-02 21:00:00,北京,87.5,2.0,1013.7,3.43,NW,-11.7,0,0
2010-01-02 22:00:00,北京,93.7,0.4,1007.7,4.9,SE,-11.2,0,0
2010-01-02 23:00:00,北京,61.8,0.3,1026.5,5.68,SE,-8.9,0,0
2010-01-03 00:00:00,北京,87.8,0.8,1006.2,3.13,NW,-12.3,0,0
2010-01-03 01:00:00,北京,80.7,1.9,1003.8,3.83,SE,-9.6,0,0
2010-01-03 02:00:00,北京,79.3,-2.8,1020.2,3.84,NW,-17.6,0,0
2010-01-03 03:00:00,北京,87.0,-5.4,1014.5,6.8,NW,-19.6,0,0
2010-01-03 04:00:00,北京,97.4,-3.0,1017.9,5.79,NW,-17.1,0,0
2010-01-03 05:00:00,北京,116.3,-10.0,1017.9,6.98,NW,-27.4,1,0
2010-01-03 06:00:00,北京,93.0,-4.7,1014.4,3.85,cv,-14.4,0,0
2010-01-03 07:00:00,北京,112.4,-10.1,1017.4,5.93,SE,-23.1,0,0
2010-01-03 08:00:00,北京,108.6,-6.1,1018.8,3.25,NE,-17.3,0,0
2010-01-03 09:00:00,北京,112.0,-8.2,1023.1,4.33,NE,-22.6,0,0
2010-01-03 10:00:00,北京,128.4,-6.1,1013.0,2.8,NW,-22.2,0,0
2010-01-03 11:00:00,北京,122.3,-1.8,1017.8,5.01,NW,-18.3,0,0
2010-01-03 12:00:00,北京,130.4,-6.6,1014.6,3.77,SE,-20.6,0,0
2010-01-03 13:00:00,北京,110.2,-5.7,1014.8,3.32,SE,-22.1,0,0
2010-01-03 14:00:00,北京,100.5,-2.3,1011.2,6.67,SE,-15.7,0,0
2010-01-03 15:00:00,北京,102.6,1.9,1012.9,4.56,NW,-9.9,0,0
2010-01-03 16:00:00,北京,104.3,0.4,1008.6,3.05,NW,-9.8,0,0
2010-01-03 17:00:00,北京,99.6,1.2,1008.9,4.31,NE,-12.5,0,0
2010-01-03 18:00:00,北京,80.9,2.2,1009.7,3.01,NW,-8.1,0,0
2010-01-03 19:00:00,北京,91.9,0.4,1003.5,6.09,NW,-12.4,0,0
2010-01-03 20:00:00,北京,91.1,2.9,1009.3,4.98,NW,-8.8,0,0
2010-01-03 21:00:00,北京,117.1,1.6,1011.9,6.29,NW,-11.7,0,0
2010-01-03 22:00:00,北京,108.9,4.5,1015.3,4.55,NE,-11.4,0,0
2010-01-03 23:00:00,北京,76.7,2.7,1007.1,5.83,cv,-12.3,0,0
2010-01-04 00:00:00,北京,96.4,-2.7,1015.5,4.22,SE,-14.7,0,0
2010-01-04 01:00:00,北京,84.7,-1.8,1017.3,3.6,cv,-14.9,0,0
